,ID,shortcode,text,hashtags,comments,likes
3.61,,,"""As teenagers we're going through it."" (Seriously.) At the link in bio #AllTogetherNow star @auliicravalho opens up about mental health quarantine snacks and diversity in Hollywood.

📸: @dontbeafool
👗: @himichelleli
💇🏻 + 💄: @kellyshewmakeup",alltogethernow,|😘🌹😘🌹😘🌹😘😘🌹|I WANT THIS OUTFIITTT😍😍😍|Guys please follow my page🔥|❤️|✨✨✨|❤️🔥|😍❤️nice🔥,10535
3.62,,,We *finally* have an update on the #GossipGirl reboot! 👀 Find out everything we know at the link in bio.,gossipgirl,"|✨✨✨|@andrea_erazo176|🥰🥰🥰🥰🥰🥰💥|Follow @theinternationalfashion 🙌🙌🙌🙌|😍😍😍|pack it up Joe 💅🏾|Anybody else thought that was joe Goldberg with a new look???💀💀|@alishawheeler_ 😆|NO ONE WANTS A REBOOT|Gossip girl 🔥🔥|@phuongthaotrann thằng Dan như hầu cận|I can’t wait|😍😍😍😍😍😍😍|@haileywrightt|I hope they do a better job by not trying to make everyone love a character who is known for date raping girls at parties.|❤️❤️❤️❤️|@cyd0.96|💖💖💖💖💖💖|@me_bonitaa @oh_jackievee|@anniepii|Should've signed it off with:  xoxo gossip girl.|BABEEEEEEEE @thereal.w__|We don’t want a new cast we want the njbc back 🥺 @_poojavaya|@blakelively @edwestwick @itsmeleighton @pennbadgley @chancecrawford  we want you guys back not a new cast we have waited for this day since a long time now and we want you back 🥺🥺|@suhanis_19|@tupechugaasada_|Ok....what witch craft is this?? I’ve been binge watching GG for two weeks now and just watched an episode rn!!|I think they need to start making another movies/series instead of rebooting em 🙄|@larissa.manasek ahhh|@tanvisakhamuri|Freaking  dan 🤨|WE SELL ALL THE E-BOOK ON 50% DISCOUNT OF ALL GENRES
+1ST TRIAL FREE|@ankermaedchen 😍|I honestly just hope the storyline picks up at Serena and Dan divorcing and then her and Nate getting married|all i want is a prequel with young lily and rufus’s life|Is that Cece Drake from PLL?|@rnsandra|@issgyimahxo|Please don’t ruin such an iconic show 🥺|@srdiegosh|it’s not gonna be good without the og cast|Classic|😍|Ahhh|I think this was Joe's new victim for a sec|stg if vanessa is in it-|@leticia_antuaned|Rdj_ts2008 takip edin|Omg he’s awesome right?! @victor.dieguez6190|👏👏👏|✨Who asked for this✨|We don’t need this let’s not ruin gossip girl|ew no not without the og cast|yes omg|I haven't even finished watching the old one. So many seasons 😥|@georgia.glover|😍😍😍😍😍|All we need is Blair and Chuck back otherwise the majority are not interested in those ten episodes of new cast|@cara.macintosh about time!!!!|With out blake or the rest idc|yess was literally just watching this episode 😍😍|😍😍😍|@maamacitachula 👀👀|😍😍|🔥 Hot deals check them out 40% off for a limited time. 🔥 #fashion #jewelry|yeahhh but not with the og actors :(|Sad that they broke up in season three|@patriciadwiy ini joe goldberg??|@kara.lynch7|Ok but when is a new of “You” coming out tho? I’m trying to see what he do next 😂😂😂😂|@mihikachalasani|@iampauline03|JOE?|How about a GG x You cross over?! Lol|@_n.o.u.s_  your show😂😂|man gossip girl is not about to be the same without the breakfast club",46289
3.63,,,#Riverdale stars Madelaine Petsch Lili Reinhart and Camila Mendes have joined forces to launch a joint TikTok account — and yes they've already tried the #WAP dance! Meet ~Lamila Petschart~ at the link in bio.,riverdale wap,|they couldnt think of a better name than pet shart?|My favorite serie a 👑👑👑👑|❤️❤️❤️|No that-No🤦🏽‍♀️🤦🏽‍♀️😂|Si somos @melpp11 @andreitaortiz 😍|Linda|Já tô seguindo|💓😍😍|love it 💕|❤️❤️❤️❤️❤️❤️|👪👪👪👪👪👪👪WOW👪👪👪👪💚💜💜💜💜💜💚💚💚💜💜💜💜|Imagine watching riverdale|pet shart|😍😍😍😍|@alejandra.naranjoo  El trío|Those three should be the power puff girls|Ayyyy|Bellassss😍😍😍😍😍😍|QUEEEE @barbararamosofficial 😜😍|Pretty ladies💖|I love that red hair gorgeous 😻|@samnhermosa @cheskav_ i think we should toooo hahahahah|I love ❤️❤️❤️❤️|Hi|❤️🎉|❤️|They are all so beautiful and i love the teaming up ❤️|💓|What is the account name because I want follow them💗|New low|This is amazing 😂|❤️❤️|O very Hot girls 🌷|🤩🤩🤩|Nice post 💖we have created @Fashionbykajal blogging page and we post daily fashion updates please do check our page and support us by following us thankyou|El Trio ❤️❤️❤️|Call me shome my pik|CUTIES ❤︎|@yvel__ @avridyakeum__ join force to make TikTok guys?|😍😍😍😍😍😍😍😙|🤩🤩🤩💓💓|Love em|Luv their friendship❤️|Querida princesa linda beijo 😻😽. gratidão 😸🤠. amizade.vem.do.amor.carinho.simpatia.siceridade.felicidade.armonia.paz.simplecidade.verdadero.legado.💮🌺🌼🏵️🌹🌷🌸💯👩‍👩‍👦‍👦🙏🤜🤛🙌♥️💙🖤💜💚👏|Peguei seu.jesto|Rdj_ts2008 takip edin|Yo they should hire @victor.dieguez6190 do to their make-up he’s a god I swear|Love this 💕|❤️❤️❤️❤️Hai|Worst show ever. Super boring I couldn't pass the third chapter from the 1st season. The storyline doesn't make any sense looks like it's gonna appear a unicorn in any moment 🤡🤡🤡|wow i like|QUEENS✨🤍⭐️|🔥|😍|❤️|@s0phiij0hnson|😍|Can’t wait to work with you guys<3|@the_bowbow 😱|😍😍|omgggg queens 😍|Adorei!|@tea.yeaa crying in club coz India has banned tiktok|they’re coming after our brand @averyyhuber|😍😍😍😍😍|hey lol|Aww babesss|Goals!!’ ❤️,65334
3.64,,,The creative minds behind @abacaxinyc @theophilio @ellissellisselliss @tolucoker and @krystalpaniagua embody the fashion ethos of Teen Vogue — from sustainability to inclusivity. Meet Teen Vogue's Generation Next Class of 2020 (link in bio). #TVGenerationNext,tvgenerationnext,"|👍🏼|Cool 🔥|🔥🔥🔥|Popstar is trending right now|All my Quartz 👑 are ready to ship! LABOR DAY SALE STARTS NOW!!! 😱 💙🖤💙🔮⁠
⁠
Get 20% Off on orders $20+! Discount is applied at checkout. 
U.S. orders $35+ ship for free! ~ Store link is in the bio. 💙🖤💙🔮⁠ .⁠|❤️",4481
3.65,,,Like over 6 million people in the U.S. alone Robert Pattinson has reportedly tested positive for COVID-19 — and production on #TheBatman has been halted. Read more at the link in bio.,thebatman,"|@_richard.o pray for my husband o|😨|@amiiiiiiiikocu @baszetbahegemur 😭😭|@mary.souzaandrade ah mas não creio|Worst day of my life is when Robert Pattinson is tested positive 😭|@marilynn__milan|@_carolinefoutty_ @_laurenkoch_|😢|:0 @raquel_16_24|@scarlettscherer no words|I'm praying for this beautiful soul.|🥺🥺🥺 i hope that all his bat powers would repel the virus 🦠 asap|@karolecozzo Edward nooooooo!!!|😢|𝙁𝙤𝙧 𝙈𝙤𝙫𝙞𝙚𝙨 & 𝙎𝙚𝙧𝙞𝙚𝙨 #𝙁𝙖𝙣_𝙀𝙙𝙞𝙩𝙨❤️🔥𝙒𝘼𝙏𝘾𝙃 𝙢𝙮 𝙍𝙀𝙀𝙇𝙎🙌|noo not my cedric 😿|Noooooooooooo|Nooooooo 🥺🥺🥺🥺😩😩😩|😭😭😭|I’m praying for Robert and his family get better soon Robert.|NOOOOOOOOO!!!!!|💗|he's a Collins before the batman so I guess he's immortal|😱😱|Absolutely stunning 🔥 💯 💥|@weights_n_freedom should you get tested? Not sure how long ago the movie filming was|😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍|❤️❤️❤️💖💖💖💞💞💞💞💚💚💚💚💚💙💙💙🌻🌻🌻💛|When i seen this bad news about him i got shocked and surprised. I just cant stop thinking about him and worrying about him all the time. My lil heart is crying. Im praying and wishing him all the best. Feel better and get well soon. Luvs u so much. Im ur big fan. I believes u can stay strong. Just dont leave us. Im always here for supporting u cause ur happiness and sadness is mine too❤️❤️❤️|@klemenbatagelj  oh no|Noooooooo😭😭 my baby’|If he goes i go.|no|@mya.nx read all the comments😂😂|Oh nooo. Not him. He's immortal. ☹️|Mi pobre bebe😭😭😭😭|Embarrassed Beautiful 😮😂😢😍🙌👏|GET WELL SOON ALL OUR LOVE SENT TO YOU SWEETIE|Get better!|@_eilidhpaterson NO|Omg 😭|Batman has Covid ! Get well soon|@anna.gennard|NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO|@24_4ever_|robbbbb 😭|😐😐💓|❤️❤️❤️❤️❤️|Sad. 😞|Oh wonderful. 2020 just keeps getting better 😒🤦🏻‍♀️|Just know that I love you ❤️|Good job Cedric please don’t die|😩😩😩😭😭😭😭|Cedric don’t leave us please|Ok|@levanacrichi|Nooooooooooooooooo|@krakrou la mauvaise nouvelle de la journée.... Ça va tu tiens le coup ? 😂|Please get well soon🥺🥺🥺|😭|❤️|@heyjude96|@sourpuke NOOOOOOOO😭|Love you Rob 😍 you are absolutely gorgeous and so talented ❤ 💖|@mollystewart.x|☹️☹️☹️|Robbbbbbb😭😭😭😭|Whatt the.....😱😱😱😱😱|Sheesh|🙏🙏🙏🙏❤️❤️❤️|😭💔|@o.lockie_d|😢|😭😭😭😭|Get well soon...|ok sto piangendo bene|Devastated|@sofiaasansour NOOOO|@charlotte_hyman|nooooo🥺|@brookeashenden_|Nooooooooo!!!!!!!!!!|@keira._emily oh no|I thought we were done with this corona virus thingy.|🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥|@lucyejamieson|Omg 😮 🥺🖤|🔥🔥🔥🔥🔥🔥🔥🖤|@sarahmuscat|@alisjaaaa wereldnieuws|I know he will be fine...but I feel sad 😭😭😭😭😭😭😭😭😭😭😭😭|😢|☹️☹️☹️☹️|💔😢😢|wooooooaqa|May he get well soon🙌❤️|WE SELL ALL THE E-BOOK ON 50% DISCOUNT OF ALL GENRES
+1ST TRIAL FREE|@kaaskopspeciaal oof|ehn😐💔|😔🙏|@brandonmjc4|😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭|@anusheyusman :(😭|CEDRIC DIGGORY EDWARD!!! bro stop playing with me|how you feeling @olivia.rodrigo|That’s depressing|hes gonna survive this cuz im unable to comprehend or accept any other alternative😭|@xmic.helle oh no oh no oh no|@brookefriedrich|No no no no noooo|I didn’t think vampires could get sick|Its really sad to hear this bad news in a good friday😭😭😭😭😭😭😭|Bruhh wtf I hope he's doin ok😟😟|I'll find the vaccine myself|Yo @grumpyppeachh 😔😔😔|I will save you Robert|No not my baby 😭|Omg my king|🥺🥺💔💔 LOVE YOU ROBERT❤️❤️|WHAT|oh nah-|OMG😢😢😢|@_sophie.odonnell but he has already died from another pandemic|@mrscarlafuentes 😨|😢😢|not cedric 😖|No no no no|Stop CUT THE CAMERASSSSS|🙏🏽🙏🏽🙏🏽🙏🏽|@fernanda.lopva ptm no💔|I wonder if a side effect is him sparkling in sunlight? 🤔 All the best wishes for his recovery ❤️|😭😭😭|UhhOhh. Fortunately there is a 99.99996% survival rate and less than 10k people actually died from the virus itself without any pre existing health ailments.|PR🤔|😢|@annaluciathoelen 😫|@alcillaneb eu sou apaixonado|@metageek00 😢|.....nanni?¿?|😭😭|He was supposed to be vengeance|It’s ok Carlisle will come bite him.|@sydneyyberk 😫|Wishing him a strong recovery.|pain💔|@myamahaley come get yo man|WHAT|NO.|@alvasteve_ 😢|Darn|CUNG @curious__lotus|💔|:(((|praying for my king|Trump 2020|i want to kms|if he dies i die|no please don’t let this happen|team edward 4L|Carlisle ?|SEHAT SEHAT YA SAYANG😭|🙏|Not Rob...|@m_feely_|@thisisnotdean 😩|This Movie Is Never Gonna finish😂|NOOOOOOOOOOO|😧|😍😍😍😍|QUEEEEE?! No puede ser|Wait fr tho?|Yet my school has one case and we have to wait for a second one to shut down🤦🏻‍♀️|no please no|🥺🥺🥺🥺🥺🥺|is2g if he goes i go|@katieemacmillan noo|😭|Noooooo 😭|@luzvianeyyy|@edmarasoares_ puts amiga|@ishita.r3|@familyman1920 @asafianow|Don’t worry he’s gonna survive. Wouldn’t happen in the first place if it was Christian Bale tho.|@lil_spicei|He can't die tho he's immortal. IM SUPPOSED TO BUMP INTO HIM IN THE MALL PRETEND I DONT KNOW HES A VAMPIRE AND THEN MAKE HIM FALL IN LOVE WITH ME AND WHAT AM I GONNA DO NOW. Bleeping covid.|@crypuscule102 ☹️|👁💧👄💧👁|@leithbussing :(|NOOOOOOOO PLEASE😭|🙏🙏🙏|Not after Edward died from the Spanish Flu😳........|Sweetheart you have a lot of people praying for you. Everything is going to be alright.💙💚💕💛💞💕💚a|@rencealfreddd|Where TF is Carlisle|Twilight-Spanish Flu; Batman-Covid-19|@alli_tefft15|@unnyyy 😔|If he goes bro I go 😪|🥺🥺|brb while i go cry|Omfg NO|what type of shady caption is this? lmao|Ayang🤗|LOL NAH YALL ARE PRANKING|😭I'm cryinggggg|cedric down 😭",44704
3.66,,,The first #TeenVogueSummit workshop is coming so soon! ✨❤️✨ Follow the link in bio to get tickets to our interactive Zoom groups with opportunities to ask questions share insights and participate in hands-on activities. The virtual event will feature fashion + media experts @sandrinecharles @gabifresh @cami.tellez @shionat and our very own @lpeopleswagner 🙌🏽,teenvoguesummit,"|💗💗💗💗|❤️|So cool!!|👏👏👏|Yesssss 🥳🥳🥳 @cami.tellez ❤️|so excited to join ❤️❤️❤️❤️❤️|Omg I just signed up!! ❤️|❤️❤️❤️❤️❤️❤️❤️|🔥🔥|I can’t wait for this!!!|Ok so I know this may be one of those super annoying random comments... but I’m going to soldier it out and do it anyway...	
I was on a psychiatric ward for 10months 😐 But Been out now for 11 months and was hoping you guys would follow my page as I’m determined to raise awareness of mental health. I’m fed up of not being heard in the system so that’s why I made this page. 
Would appreciate you considering following :) Zoe x 

Oh and I found you under princes trust just FYI :-) used to be one of their young people then worked with them for a year|Amazing! 🙌|🙌🏾|🙌🏼🙌🏼|Woooooo!!!! ❤️❤️❤️💞🌈|@blackcharmer sending this your way! ✨👍🏾|Dope|yess|Hyped|Ohhh heyyyyy @sandrinecharles 👋🏼♥️🏅",2364
3.67,,,The fashion landscape is adjusting rapidly in the time of COVID-19 but we do have one thing to look forward to: the up-and-coming designers who are changing the narrative of fashion. We're excited to introduce you to Teen Vogue's Generation Next Class of 2020. Find out more about these young designers at the link in bio: @abacaxinyc @theophilio @ellissellisselliss @tolucoker @krystalpaniagua #TVGenerationNext,tvgenerationnext,"|❤️❤️|😃❤️|🔥|Wowwww 💜💜💜💜💜 this. So excited. 😊|❤️|❤️❤️❤️|🤩🤩🤩🤩❤️❤️❤️❤️|Yess @theophilio|💕💕💕💕|@theophilio you deserve this|We love you @theophilio 🔥|Hey guys, I shouldn't self advertise but a friend of mine has been feeling depressed for the past month. There was this day when he felt suicidal. He's been like that because in our highschool people get bullied base on their social status meaning that if you have very little likes you are left alone and unpopular. I know that sounds very odd but I tried my best to make my friend talk to a physicologist. The only thing I can do is to be there with him and tell him that likes is worthless. If you want to help you can like his recent post or talk to him about how worthless likes is, it will help a lot. His @ is @mateopinto._. Feel free to help and thank you so much",2785
3.68,,,"""You knew what to do with these [white actors] but when it came to Kelly Marie Tran when it came to John Boyega you know f*** all."" At the link in bio John Boyega speaks out about Disney's sidelining of characters of color in the #StarWars franchise.",starwars,|💕🌱|I Stan John Boyega|Watch my story if you a fan of teen vogue and I’m doing a giveaway|He said what we were all thinking|Honestly I was so disappointed Poe Finn and Rose got no resolution the story feels so unfinished it’s ridiculous.|🙌|To be honest I was more interested in Finn and Poe stories than Rey's story.|🇻🇳🇻🇳🇻🇳|💯💯💯|That last Star Wars check cleared and now he finally gets to be honest 😂|@josepaul1288 @comicmaster217 @battman1167 @erin.r.ban|The fans bullied Kelly Marie Tran off of social media and then JJ despite saying how much he loved her character basically took her out the last film. They set Finn up to be force sensitive and didn’t do a damn thing with it I can’t even really remember him in The Rise of Skywalker. I’d say he was right that they only added him for the diversity points and didn’t do anything with him.|✊🏽✊🏽✊🏽 Speaking upn👏👏👏👏|This is unimportant but what an incredibly gorgeous photo|What do you want exactly..applause,16362
3.69,,,Me reacting to the news of a #PrettyLittleLiars reboot 🤔 Find out more at the link in bio (including how the creator of #Riverdale is involved)!,prettylittleliars riverdale,|@skec_25 lol|@maesaz|No no please nooooo|@xoxolcf you’ve got a doppelgänger! Or do you moonlight on this show?|@trinipalma_|@mariajo_2511|We deserve it|@abbyycuva ...very curious🤔🤔🤔🤔|WHAT????? This show ruined my life for 7 years and I can’t believe it’s going to ruin it again???|why|@surabhi_2000 BRO wtf... I hope they don't ruin this show for good.|Have you ever hear about Serengeti Mt Kilimanjaro Zanzibar Ngoro ngoro Crater and the Maasai tribe follow @kili_view_and_safaris  for all info about @tanzania_safar and amazing adventure pictures|No❤️|💯💯💯💯💯💯|🤣🤣🤣🤣🤣 Lets get it 🙌🙌🙌|😭😭😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️i miss that so much|❤️❤️❤️❤️❤️|No don't💀|@sirinesawaya|@_paulasoler_ hola?|@broswatchplltoo help|🤢|ain't nobody got another 9 years to waste on that nonsense 😂|But why? @boledimatheba @kirstinvanwyk|👍🏼|Dammit|@rita_gemayell|Omg what is it it so amazing😻😻😻😻😻😻😻|@corymichaelpeeler|@abeline.b omg whaaat|@jenayacampbell whaaaaat|😍😍😍😍😍|What|They ruin everything..|@emma_robertshaw 👀|Why. Didn’t we have enough of that sh*t?|🔥🔥|❤️😍😘💯|@juneozx @flaviedurand_ vous n’allez plus jamais vous levez de votre sofa 😂|Omgahhhh 😍😍😍 now grown with kids!?|@veronicaalvarezsanchez11|Hit it|😳🤯 @mafe.garcias|@fabiolaaaaa_trejo|What????|❤️❤️❤️❤️❤️❤️|🙌🙌🙌🙌🙌|😍😍😍|Tbh I would like the pretty little liars reboot based of the books tho I’m a bit worried|MDS MDS MDS MDS MDS|OMG!!! NÃO CREIO 😱😱😱❤|WHAAATTT|I got a little excited until I read “riverdale” 😒|❤️❤️❤️❤️❤️|another one 🙄⁉️|Omg this is crazy if this happened I am going to be so happy|i love this show but sometimes things end for a reason|@frannylail|Created of Riverdale??? They boutta have musical episodes it’s gonna be so bad|STOP PLAYINNNN|think of more ideas the show already happened why do we need another one... why are they making reboots like think of some new good shows!! :(|@__blueeroses__|🥺🥺🥺🥺🥺❤️❤️❤️❤️❤️❤️|Whatttttt!!! 😍|Oh maaaan. Two failed spin-offs and they decide a reboot is the way to go? Sometimes we need to leave a good thing alone.|If there ain't no Buttahbenzo they got to go 😂|I think it’s too soon.|🤗🤗🤗|@kyaebbecke|Omggggggggg I ammmmmmmmm soooooo excitedddd|WAIT WHATTTTTT|No please don't|Stop trying to bring it back. It’s over! I loved it now it’s tome to move on!|@zzp30|Oi linda querida princesa linda beijo grande tudo bem com você.boa.noite.gratidao.simpatia.carinho.amizade.felicidade.sentimmento🌸💐🏵️🌺🌼🌹🌷💮🤜🤛🙏🙌👏💚💙♥️🖤💜|Just when they took pretty little liars of Netflix for good....🤦‍♂️🤦‍♂️❤️❤️|@sara.capucilli ‼️ 🚨 ‼️|✨No thank you✨😊|They should bring back the society|Start earning with Qoop’s gamified Q&A 💯|I thought they did make a reboot|What? Why? 😭😭😭😣😣|YES|@abby.muth|@morganmoreno15 WHAT|Why is it back 😭 @sanyahirani|Alison’s baayangs! Bruh|QQQQQQQQQQ|Nooo|where can i stream this? can’t find it anywhere|If it’s not the original cast I’m not watching|@adanfarooq|Any teenage girls interested in making friends dm me. You can find friends all around the globe.... Like this post so it stays on top and someone can find it useful 😁|Saudade da adolescência.|Forget another reboot give us back the perfectionist|We don’t need it 🥴|😍❤️🤗|Can they just put the show back on netflix....there’s already a spin off|@z000eeeee|Yes ❤️🔥|🔥🔥🔥|man this show just ended a few years ago why would they reboot it|Was this not the perfectionists?|Alex drake en la foto 🤡🤡|@ginaawael|💕💕💕💕|didnt they have a reboot though? what happened to that?|🙌🏻🙌🏻|Wait why would they reboot this?! That hot mess feels like it just ended 😂|🙄|BTW it isn’t even with the original cast...... or with the original creator of the show  I—|Oh no|🤩🤩|They should bring back the perfectionists|@isabellcathrineeisenhour|When movie creators run out of ideas they reboot all the tv shows. Soon we would have reboots of shows that ended 2 days ago|This ended 3 years ago. Please don’t!|whaaaat? @a_ilobbe|If Marlene isn't involved not interested. The creator of Riverdale doesn't have a great track record with spinoff shows😬|@_rvaldezm OMGGGG|Just stop STOP|why|can Riverdale creators like... stop?|😍❤️💘💘💕❤️❤️💘😘❤️|They made one and canceled it after  season 1 what do they keep wasting time and money making another one? The show is over. Move on lol|❤️|huh|They’re already rebooting a show that only ended a couple of years ago?... what was the point? 🤨 🤔|Omg omg omg omg|Lindas|@broswatchplltoo OMG|Oh please not another one 😒|The way this ended I’m good...|NOOOO NO WAY WHY|i miss pll 😭😭😭|Wasn’t there already a reboot|💚👪💙💙💙💙Wow💙💙💙👪💚💚💚💜💜💜💜💜💜💜💜💜|we don’t want it. especially w the creator of riverdale 💀|U SAID WHAT|A REBOOT?!|OMG WHAT|@m1kk1.sm1th|@emmaxyounger what the hell,29019
3.70,,,All hail Queen of Masks @ladygaga!! 🙌😷 At yesterday's #VMAs Lady Gaga proved she's the pandemic pop star the world needs. See more at the link in bio.,vmas,|Hello my intention is not to bother I just need to ask you for help to be able to survive with my family we are going through a bad economic moment where we have had to spend the whole day without eat we are honest and hardworking people but our minimum salary in Venezuela is $ 3 a month and we do not have enough for anything! we have 3 children please help|Yes queennnnnn|QUEEN !!!!!!! SHE IS SO TALENTED|......|😍😍|Adorei! ✨❤|Alright then...|❤️❤️🙀|Congrats to you Ms ladygaga ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐|Mau maskerna wkwkwkwkw|queen❤️🤩|❤️😍|💜💚|😍|I LOVE HER SO MUCH|🙌🙌🙌🙌🙌😷😷😷😷|Hi,16400
3.71,,,@arianagrande's at-home #VMAs look is double the ponytail fun 😍 see more at the link in bio.,vmas,|If you like Kendrick you'll like my music|Adorei!|the way she SERVED|She’s gorgeous!!|❤️❤️❤️❤️|So cute|💞💞💞|The make up chihuahua|😍😍|💕💕💕|@veitesrodrigo|So cute 😍😍|Is Beautiful ❤|Check out my page for the latest stories on /for and by young people. Dm to be featured|isn’t a double ponytail just.. pigtails? very cute tho|Привет|queen|🤩🤩🤩🤩|gorgeous|Super|Love everybit 😍|😍😍|👍|any cancers here|Ariana love you❤️|Sa|Salam|Queen 👑 ❤️|#helplakecharles @teenvogue|Simply beautiful|🌻|6|Asco|Visit my page for best quotes if don't like block me|She looks like bbubbles,24205
3.72,,,"With his new album #CTV3 Jaden Smith said he wanted to give the kids ""a little something-something"" 😏 and that something-something sounds soooo good. Listen to @c.syresmith's latest music at the link in bio 🎶",ctv3,|🔥|DADDY|Loving the vibes @c.syresmith 🌸🌈💖🌈🍒🌈🦋🌈♥️|😍|T🌺H🍂A🌻N🌳K🌎S🦄|😍😙|I thought he just goes by Jaden now|😍😍😍😍😍😍|So pretty 🧡💕♥️|Love Jaden ♥️🇧🇷 great person and artist|SEND A MESSAGE IF YOU NEED A STAY AT HOME JOB 💰 🇺🇸 🇨🇦 💵|Nice summer vibes. 💜|❤️|💯👊🏻💯|His style is Supreme!|𝗪𝗵𝗮𝘁 𝗮 𝗴𝗿𝗲𝗮𝘁 𝘄𝗼𝗺𝗮𝗻 𝘆𝗼𝘂𝗿 𝗮𝗿𝗲 𝗜 𝗮𝗺 𝗿𝗲𝗮𝗹𝗹𝘆 𝗴𝗿𝗮𝘁𝗲𝗳𝘂𝗹 𝗳𝗼𝗿 𝘄𝗵𝗮𝘁 𝘆𝗼𝘂 𝗱𝗶𝗱 𝗳𝗼𝗿 𝗺𝗲 𝗜 𝗵𝗮𝘃𝗲 𝗿𝗲𝗰𝗲𝗶𝘃𝗲𝗱 𝗹𝗼𝘁𝘀 𝗼𝗳 𝗽𝗿𝗼𝗳𝗶𝘁 𝗳𝗿𝗼𝗺 𝘆𝗼𝘂𝗿 𝗽𝗹𝗮𝘁𝗳𝗼𝗿𝗺 𝗜 𝗰𝗮𝗻 𝘁𝗲𝘀𝘁𝗶𝗳𝘆 𝗮𝗯𝗼𝘂𝘁 𝘁𝗵𝗶𝘀 𝗴𝗼𝗼𝗱 𝘄𝗼𝗿𝗸 @jaxon_annet|Que saque para estar igual 🚬🌀🌀|@imogenclark_ a lil sumthin sumthin|@eleven_ever_after these visuals!!!|Jaden looks like he is covering his drug addiction by looking like a drug addict|@gabdzz|Yeaaaaaa|#helpsavelakecharles @teenvogue|Anyways 🤤|😍❤️|Daamn bruhh.. he been doin push ups lately? 💪💪|ugh I love him|🛍Shop Here For Exclusive Discounted Health & Beauty Products 🛍 Top Quality Celebrity Endorsed Items 🎬 Click Link In Bio 🔙 Instant 10% Off Order 🤯|ok but can we appreciate how the photographer didn't drown out his skin color but instead celebrated it with putting vibrant colors that highlights him🤩✨🥰|💜💚|Will Smith save your boy!|you are very pretty|His bodyyyyy 😘😘|💜|Wait is that the karate kid 😳|Oh|🤩🤩🤩🤩🤩|@kittytuan_mb @aomsinkanyapak 😍|Love it|He got muscles he as been working out|Such a great picture in every way!  #loveislove 🌈❤️🧡💛💚💙💜,31842
3.73,,,"Joey King's ""before and after"" #VMAs look is not only stunning but a WHOLE mood. See it all at the link in bio~ 📸: @jaredengstudios",vmas,|🔥|❤️|😍😍😍😍|Hi chikizz Jana look at the end of love you💘💘|Just beautiful|OMG|💖💖💖|The best|💯|😍😍😍|🤩❤|@joeyking is an amazing person. I love this girl💜|Been showing up ever since she got out that wheelchair|she’s sooo beautiful 🥺|Beautiful|👏👏👏|😍😍😍🌹🌹🌹|@louisavp39|Check out my quartz accessories! Everything is ready to ship and U.S. orders $35+ get free shipping! 💙🖤💙🔮|i would rlly appreciate it if anyone could check out my acc or website - i run my own australian jewellery boutique and sell affordable accessories and enamel pins🥰✨|🔥🔥🔥🔥🔥🔥|QUEEN👸always|AESTHETICS/ MINIMALISM/ HAUTE COUTURE galore on my account. Please check it out and follow. Sorry for the self-promo ✨🪐🤍|😍😍|This look is gorgeous😍|Gorgeous ✨💖💖|Se arregló los dientes ?|😍😍😍😍|❤️💚❤️💚❤️💚❤️|Soy la única que cree que parece ROSALÍA?|Beautiful😍😍|💖💖💖|She’s flawless 🔥|❤️|😍💐|Queen|my confidence 📉📉📉📉|😍😍|Perfect ❤️❤️❤️❤️|joey you are perfect UNDERSTAND|This girl is fire 😍😍😍|😍😍beautiful|Beautiful you beautiful dress!|❤️❤️|🔥🔥🔥|❤️❤️❤️|💥💥💥💥💥💥|🌷🏅|🌷🌷🏆|Ab lag rahi hai ladki jesi.. warna to 😂😂|♥️♥️♥️|@sarawwwwh everytime I see her it reminds me of you|🔥🔥🔥,48474
